run_id,state,circuit_depth,cx_count,bin,phase,prob_raw,prob_mitigated,prob_noisy_sim,err_raw,err_mitigated,err_noisy_sim
aggregated,uniform,182,199,0,0.0,0.9911295572916666,0.9911295572916666,0.9415730794270832,0.008980998266212964,0.008980998266212964,0.00987909809283426
aggregated,uniform,182,199,8,0.5,0.008870442708333334,0.008870442708333334,0.008426920572916666,0.0008496343187589967,0.0008496343187589967,0.0009345977506348964
1,uniform,182,199,0,0.0,0.989013671875,1.03846435546875,0.93956298828125,0.0016287238521477897,0.0016287238521477897,0.0017915962373625687
1,uniform,182,199,8,0.5,0.010986328125,0.01153564453125,0.01043701171875,0.0016287238521477897,0.0016287238521477897,0.0017915962373625687
2,uniform,182,199,0,0.0,0.992919921875,1.04256591796875,0.9432739257812499,0.0013100750122719202,0.0013100750122719202,0.0014410825134991124
2,uniform,182,199,8,0.5,0.007080078125,0.007434082031250001,0.006726074218749999,0.0013100750122719202,0.0013100750122719202,0.0014410825134991124
3,uniform,182,199,0,0.0,0.991455078125,1.04102783203125,0.94188232421875,0.0014381712245014231,0.0014381712245014231,0.0015819883469515655
3,uniform,182,199,8,0.5,0.008544921875,0.00897216796875,0.00811767578125,0.0014381712245014231,0.0014381712245014231,0.0015819883469515655
aggregated,stationary,182,199,0,0.0,0.9915364583333334,0.9915364583333334,0.9419596354166666,0.008982841618845461,0.008982841618845461,0.009881125780730008
aggregated,stationary,182,199,8,0.5,0.008463541666666666,0.008463541666666666,0.008040364583333333,0.0008299185406238256,0.0008299185406238256,0.0009129103946862082
1,stationary,182,199,8,0.5,0.00830078125,0.0087158203125,0.0078857421875,0.001417651546875779,0.001417651546875779,0.001559416701563357
1,stationary,182,199,0,0.0,0.99169921875,1.0412841796875,0.9421142578124999,0.001417651546875779,0.001417651546875779,0.001559416701563357
2,stationary,182,199,0,0.0,0.9912109375,1.040771484375,0.941650390625,0.001458392241400817,0.001458392241400817,0.0016042314655408988
2,stationary,182,199,8,0.5,0.0087890625,0.009228515625000001,0.008349609374999999,0.001458392241400817,0.001458392241400817,0.0016042314655408988
3,stationary,182,199,0,0.0,0.99169921875,1.0412841796875,0.9421142578124999,0.001417651546875779,0.001417651546875779,0.001559416701563357
3,stationary,182,199,8,0.5,0.00830078125,0.0087158203125,0.0078857421875,0.001417651546875779,0.001417651546875779,0.001559416701563357
aggregated,orthogonal,184,201,0,0.0,0.911865234375,0.911865234375,0.86627197265625,0.008614393927918627,0.008614393927918627,0.00947583332071049
aggregated,orthogonal,184,201,8,0.5,0.088134765625,0.088134765625,0.08372802734375,0.002678138455713596,0.002678138455713596,0.0029459523012849557
1,orthogonal,184,201,0,0.0,0.91162109375,0.9572021484375001,0.8660400390624999,0.004435080633935002,0.004435080633935002,0.004878588697328503
1,orthogonal,184,201,8,0.5,0.08837890625,0.0927978515625,0.0839599609375,0.004435080633935002,0.004435080633935002,0.004878588697328503
2,orthogonal,184,201,0,0.0,0.911376953125,0.95694580078125,0.86580810546875,0.004440607473729256,0.004440607473729256,0.0048846682211021826
2,orthogonal,184,201,8,0.5,0.088623046875,0.09305419921875001,0.08419189453124999,0.004440607473729256,0.004440607473729256,0.0048846682211021826
3,orthogonal,184,201,0,0.0,0.91259765625,0.9582275390625,0.8669677734375,0.004412871079723657,0.004412871079723657,0.004854158187696023
3,orthogonal,184,201,8,0.5,0.08740234375,0.09177246093750001,0.08303222656249999,0.004412871079723657,0.004412871079723657,0.004854158187696023
