experiment_type,state,k_value,bin,phase,probability_mean,probability_std,poisson_error,circuit_depth,cx_count,total_shots
QPE,uniform,0,8,0.5,0.4911295572916667,0.006665232822084398,0.0063220428416021985,219,245,12288
QPE,uniform,0,13,0.8125,0.2333984375,0.0038756122720672716,0.004358212187173139,219,245,12288
QPE,uniform,0,3,0.1875,0.232666015625,0.00792235387675193,0.004351368615004834,219,245,12288
QPE,uniform,0,7,0.4375,0.010498046875,0.003000050226426882,0.0009243014885742633,219,245,12288
QPE,uniform,0,9,0.5625,0.010416666666666666,0.0017995885732011703,0.0009207119546699839,219,245,12288
QPE,stationary,0,8,0.5,0.6271158854166666,0.00866727873279251,0.007143865998487872,222,248,12288
QPE,stationary,0,13,0.8125,0.162841796875,0.0023544069240705456,0.0036403433018139717,222,248,12288
QPE,stationary,0,3,0.1875,0.16153971354166666,0.01305714946964085,0.003625759995108311,222,248,12288
QPE,stationary,0,7,0.4375,0.013346354166666666,0.000372930964758776,0.0010421751688530028,222,248,12288
QPE,stationary,0,9,0.5625,0.013102213541666666,0.0018646548237938802,0.0010325990836954361,222,248,12288
QPE,orthogonal,0,13,0.8125,0.3865559895833333,0.00579973170657449,0.005608743795609629,220,245,12288
QPE,orthogonal,0,3,0.1875,0.3767903645833333,0.009168555903097604,0.005537443306055989,220,245,12288
QPE,orthogonal,0,8,0.5,0.2041015625,0.006233957683009621,0.004075515633316704,220,245,12288
Reflection,reflection,1,0,0.0,0.3958333333333333,0.0092171843325311,0.21949325986843715,0,0,12288
Reflection,reflection,2,0,0.0,0.018961588541666668,0.002201782105870554,0.3605914431760026,0,0,12288
Reflection,reflection,3,0,0.0,0.72509765625,0.00656915236673521,0.5494246996813191,0,0,12288
Reflection,reflection,4,0,0.0,0.8560384114583334,0.00460859216626555,0.6831721164400856,0,0,12288
